Product name;Vendor;Type;Amount of pills;Days of usage ;Product type;Delivery frequency every [number] month;Product description
Tempozil;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Tempozil er baseret på ginkgo biloba, som er kendt for sin gode effekt på kredsløbet (mikrocirkulation). Det hjælper med at bevare en god hukommelse, når forandringen er aldersrelateret, samt til at opretholde en god mental balance. Desuden fremmer ginkgo biloba blodcirkulationen, hvilket er godt for både synet, hørelsen og hukommelsen. Indeholder også vitamin B6, som bidrager til at mindske træthed og til en god psykologisk funktion. Tag én tablet dagligt og lad produktet virke over længere tid.""}]}]}"
Mucoforte;Wellvita;Kosttilskud;60;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mucoforte indeholder en blanding af koldpresset olie fra hørfrø/linfrø sammen med vitamin A.""}]}]}"
Cholemin Complex;Wellvita;Kosttilskud;90;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Cholemin Complex er til dig der måske har fået en “løftet pegefinger” omkring dit kredsløb. Måske du har fået at vide, at det er en god idé at smide nogle kilo, lægge kosten om til mere groft og grønt, spise mindre kød og mættet fedt og samtidig dyrke mere motion. Her kan du med fordel supplere med Cholemin Complex, som bl.a. indeholder artiskok der bidrager til at sænke og vedligeholde et normalt fedtindhold i blodet. Reishi er en svamp, der kan hjælpe med at sænke kolesterolniveauet i blodet. Forskning tyder på, at svampen kan bidrage til at forbedre kolesteroltallet. Thiamin (Vitamin B1) i Cholemin Complex bidrager til en normal hjertefunktion.""}]}]}"
Hair Grow;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hair Grow indeholder agerpadderokke, som kan fremme og styrke hårvæksten, samt biotin og zink som kan bidrage med at vedligeholde et normalt hår og en normal hud. Tabletterne er også tilsat koncentrat af hirse samt pantotensyre, L-cystin, kobber, jern og taurin. Kobber bidrager til en normal pigmentering af håret.""}]}]}"
Remital;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Remital er baseret på bacopa monnieri, som kan forbedre hukommelsen ved stigende alder. Bacopa monnieri bidrager til et normalt blodomløb, som er knyttet til hjernens ydeevne, samt til at vedligeholde en god kognitiv funktion. Indeholder også ginseng, som hjælper med at fremme vitalitet, opmærksomhed og mental skarphed. Remital er desuden tilsat vitamin B6, niacin og biotin - vigtige næringsstoffer, som bidrager til en normal psykologisk funktion og til nervesystemets normale funktion. Vitamin B6 og niacin medvirker også til at reducere træthed og udmattelse.\n""}]}]}"
MagiLex;Wellvita;Magnesiumspray;75;60;ml;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""MagiLex er en magnesiumspray mod muskelspændinger og uro i benene, som består af 100 % naturlig magnesiumklorid fra kilden Zechstein i Holland. Produktets magnesiumindhold spiller en vigtig rolle for bl.a. muskler, celler og nervesystem. Ved spray på huden og grundig indsmøring får kroppen tilført det vigtige mineral magnesium. Det kan bruges til akut brug på de berørte områder samt forebyggende over hele kroppen.""}]}]}"
Venolet;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Venolet er baseret på rødvinsblade/kerner, fyrrebark og vitamin C. Ingredienserne bidrager til en normal funktion af venesystemet, blodkar og kredsløbet og giver en god blodgennemstrømning i benene - faktorer, der modvirker trætte og tunge ben. Rødvinsblade/kerner kan desuden forbedre hudens generelle udseende samt bidrage til at mindske cellulite (appelsinhud). Vitamin C medvirker til normal dannelse af kollagen, der har betydning for normalt fungerende blodkar.""}]}]}"
Virizil;Wellvita;Kosttilskud;90;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Virizil er udviklet specielt til mænd. Produktet indeholder bl.a. ginseng, som kan bidrage til optimal udholdenhed, energi og vitalitet. Planten kan derudover hjælpe med at fremme rejsning og vedligeholde det gode seksuelle samliv. Tabletterne tages dagligt for at opnå den rette effekt, men der kan gå nogle uger, før den mærkes. ""}]}]}"
Inulax;Wellvita;Kosttilskud;360;30;gram;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Inulin medvirker til en normal tarmfunktion ved at øge afføringshyppigheden. Det indeholder det naturlige stof cikorie-inulin, der har en gavnlig effekt på bakteriefloraen i tarmen. Når tarmen fungerer normalt, øges afføringshyppigheden og dermed afhjælpes træg mave. Inulax er i pulverform og kan drysses over yoghurt og anden morgenmad eller røres op i et glas vand.""}]}]}"
Safrosan;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Safrosan er et dansk udviklet kosttilskud, der kombinerer safran med udvalgte B-vitaminer og magnesium. Safran (Crocus sativus) er et krydderi, der har været brugt i Middelhavsområdet i århundreder.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Produktet indeholder riboflavin, niacin, biotin og magnesium, der alle ""},{""type"":""text"",""value"":""bidrager til nervesystemets normale funktion"",""bold"":true},{""type"":""text"",""value"":"".""}]},{""type"":""heading"",""level"":4,""children"":[{""type"":""text"",""value"":""Ingredienserne i Safrosan:""}]},{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Safran"",""bold"":true},{""type"":""text"",""value"":"" – udvundet af safrankrokus (Crocus sativus)""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Riboflavin (B2)"",""bold"":true},{""type"":""text"",""value"":"" – bidrager til nervesystemets normale funktion og normal psykologisk funktion""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Niacin (B3)"",""bold"":true},{""type"":""text"",""value"":"" – bidrager til at mindske træthed og udmattelse og til normal psykologisk funktion""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Biotin"",""bold"":true},{""type"":""text"",""value"":"" – bidrager til nervesystemets normale funktion og normal psykologisk funktion""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Magnesium"",""bold"":true},{""type"":""text"",""value"":"" – bidrager til nervesystemets normale funktion og til at mindske træthed og udmattelse""}]}]},{""type"":""heading"",""level"":4,""children"":[{""type"":""text"",""value"":""Hvem er Safrosan til?""}]},{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dig, der ønsker at støtte nervesystemets normale funktion""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dig, der oplever perioder med træthed og udmattelse""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dig, der er interesseret i safran som naturlig ingrediens""}]}]}]}"
Sedaforte Plus;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Sedaforte Plus er baseret på passionsblomst, som fremmer søvnen og hjælper kroppen med at finde ro, samt citronmelisse der virker afslappende og beroligende og mindsker rastløshed, spænding og irritation. Desuden er Sedaforte Plus tilsat tryptophan, som er en essentiel aminosyre, samt magnesium der indgår i mange processer i kroppen. Det bidrager bl.a. til at mindske træthed og udmattelse, til et normalt energistofskifte, til en normal muskelfunktion og til en normal psykologisk funktion. Indeholder også vitamin B6 og vitamin B12.""}]}]}"
Menoflora;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Menoflora er baseret på rødkløver, salvie, vitamin B6 og vitamin D. Rødkløver medvirker til at reducere hede- og svedeture samt til at håndtere rastløshed og irritabilitet. Salvie styrker håret ved hormonel ubalance og bidrager til at vedligeholde en normal svedfunktion. Indeholder også vitamin B6, som bidrager til at regulere hormonaktiviteten. Vitamin B6 medvirker endvidere til at reducere træthed. Effekten af ingredienserne i Menoflora mærkes normalt i løbet af de første 4-6 uger.""}]}]}"
Redina;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Redina er baseret på salvie, der medvirker til en normal svedfunktion samt til bedre velvære i overgangsalderen. Indeholder også don quai, som styrker kroppens tilpasningsevne og ruster os til at takle stressfulde og omskiftelige perioder i vores liv. Redina er desuden tilsat mælkebøtte (løvetand), røllike samt vitamin B6. Vitamin B6 bidrager til at reducere træthed og til at regulere den hormonelle aktivitet. Det medvirker også til en normal psykologisk funktion.""}]}]}"
Sedaforte;Wellvita;Kosttilskud;30;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Indholdsstofferne i Sedaforte kan hjælpe dig med at slappe af og falde i søvn. Produktet er baseret på 4 udvalgte planter: kamille, citronmelisse, humle og schizandra. Kamille medvirker til optimal afslapning og støtter vores mentale velvære, mens citronmelisse mindsker irritabilitet, spænding og rastløshed og hjælper os med at falde til ro. Humle virker beroligende og fremmer en god søvn. Schizandra kan hjælpe med at håndtere stress. ""}]}]}"
Macoform Plus;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Macoform Plus indeholder ekstrakter fra fennikelfrø, kamilleblomst og pebermynte. Artiskok stimulerer fordøjelsen, reducerer oppustethed og kan modvirke ubehag i maven. Artiskok kan hjælpe med at reducere niveauet af fedt i blodet og understøtte et vægttab.Desuden understøtter planten leverens afgiftende funktion. Fennikelfrø, kamilleblomst og pebermynteblad bidrager til normal fordøjelse og kan modvirke flatulens og udspilet mave. Kombinationen af ingredienser hjælper til at fremme fordøjelsen og give velbehag i maven. Kamilleblomst mindsker luft i maven, understøtter en normal fedtfordøjelse og reduktion af kropsvægt. ""}]}]}"
Calmixin;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Calmixin er baseret på naturlige ekstrakter fra baldrian og humle, som har en beroligende, søvnfremmende virkning. Kombinationen medvirker til at berolige nervesystemet og gør det lettere at falde i søvn. Baldrian medvirker endvidere til mentalt velvære i perioder med spænding og stress samt til optimal afslapning. En god hjælp til dig, som drømmer om en bedre nattesøvn.""}]}]}"
Gestomax;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Gestomax er baseret på fennikelfrø, som hjælper med at nedsætte mængden af tarmluft, samt kamilleblomst der bidrager til at afhjælpe oppustethed og opstød. Indeholder også pebermynteblad, der afhjælper tarmluft og fordøjelsesbesvær. Kombinationen bidrager til en normal fordøjelse, hjælper med at opretholde velbefindendet i fordøjelsessystemet og undgå milde gener som følelsen af oppustethed.""}]}]}"
Wellvita Pilledeler;Wellvita;Tilbehør;;;;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Tager du piller, men har behov for en smart metode til at tilpasse den daglige dosering? \n\nWellvitas pilledeler er en hjælp til dig, der har behov for at halvere piller. Pilledeleren, der er i hård plast, kan håndtere alle pillestørrelser og er nem at bruge.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Låget åbnes, og pillen placeres i den korrekte position. Låget med det monterede skarpe blad lukkes og presses hårdt til. Herefter er pillen delt.Pilledeleren har et større rum, som egner sig godt til at opbevare og til at huske at tage pillerne - f.eks. til en bestemt dag eller uge. Har du behov for at tage piller med dig i hverdagen eller på ferie, kan du nemt have pilledeleren med. Den 8,7 cm lange deler fylder ikke meget og kan f.eks. tages med i en bukselomme. ""}]}]}"
Ipren;McNeil;Lægemiddel;20;;tabletter;;"{""type"":""root"",""children"":[{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Dosering:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ved svage smerter:"",""bold"":true},{""type"":""text"",""value"":"" Voksne. Sædvanligvis 1-2 tabletter (200-400 mg) efter behov, højst 3 gange i døgnet. Bør ikke anvendes til børn under 15 år uden lægens anvisning.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Graviditet og amning:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Kan anvendes ved amning.\n\nMå kun anvendes under visse forudsætninger ved graviditet og kun efter lægens anvisning.\nBør kun anvendes i laveste effektive dosis i kortest mulig tid. Bør ikke anvendes først i graviditeten, da risiko for misdannelser ikke helt kan udelukkes. Må ikke anvendes sidst i graviditeten, idet indtagelse de sidste 3 måneder inden fødslen øger risikoen for blødninger hos både moderen og det ufødte barn.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Mulige bivirkninger:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Meget almindelige (over 10%):\nTræthed, fordøjelsesbesvær, mavegener, blødning i mave-tarmkanalen, diarré,\n\nAlmindelige (1-10%):\nKvalme, blodig opkastning, mavesmerter, forstoppelse, luft fra tarmen, træthed, hovedpine, svimmelhed, væskeophobning i kroppen, ophobning af urinstof og kreatinin i blodet, hududslæt, øresusen (tinnitus).\n\nIkke almindelige (0,1-1%):\nSår på mavens eller tolvfingertarmens slimhinde, hul på tarmen, leverbetændelse, påvirkning af leverens funktion, muskelsammentrækninger i luftrørene, blodmangel, øget tendens til blødning pga. fald i antallet af blodplader, søvnløshed, ændring i hudens følesans, hudkløe, småblødninger i hud og slimhinder, overfølsomhed over for lys, allergiske reaktioner, alvorlig allergisk tilstand med hurtigt blodtryksfald, åndedrætsbesvær og evt. kramper (anafylaktisk chok), betændelsestilstand i nyren, påvirkning af nyrernes funktion, synsforstyrrelser.\n\nSjældne (0,01-0,1%):\nHjernehindebetændelse, depression, alvorlig hudreaktion, overfølsomhed over for lys, medicinfremkaldt feber.\n\nMeget sjældne (under 0,01%):\nAlvorlige hudreaktioner, voldsomme mavesmerter, feber, akut forværring af vejrtrækningsproblemer, forværring af tarmsygdomme, hårtab, sygdomme i hår og negle.\n\nVæskeophobning i kroppen, forhøjet blodtryk og hjertesvigt kan forekomme i forbindelse med brug af NSAID.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Samtidig anvendelse af andre lægemidler:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Det er vigtigt at informere lægen om alle de lægemidler, du tager.\nIpren kan nedsætte virkningen af slyngediuretika (vanddrivende).\nIpren kan øge virkningen af lithium (middel mod manier) samt methotrexat (middel mod leddegigt).\nIpren må kun tages med forsigtighed sammen med blodfortyndende lægemidler og binyrebarkhormon.\nSamtidig behandling med ACE-hæmmere (midler mod forhøjet blodtryk) øger risikoen for nyreskader.\n\n""},{""type"":""text"",""value"":""OBS"",""bold"":true},{""type"":""text"",""value"":""\nBør ikke anvendes ved overfølsomhed over for indholdsstoffet eller andre NSAID, herunder acetylsalicylsyre. Overfølsomhed viser sig f.eks ved nældefeber, snue og astma, men kan i sjældne tilfælde udløse en alvorlig tilstand med hurtigt blodtryksfald, åndedrætsbesvær og evt. kramper (anafylaktisk chok).\nMå heller ikke anvendes ved mavesår, frisk maveblødning eller ved en generel tendens til blødning. Må ikke anvendes ved meget dårligt fungerende hjerte, lever eller nyrer eller ved stærkt forhøjet blodtryk.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Indholdsstoffer:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Aktivt indholdsstof: Ibuprofen\nØvrige indholdsstoffer: Croscarmellosenatrium (E468), Hypromellose (E464), Kartoffelstivelse, Lactosemonohydrat, Magnesiumstearat (E470b), Mikrokrystallinsk cellulose (E460), Propylenglycol (E1520), Talcum (E553b), Vandfri kolloid silica (E551).\n\nFør brug bør du læse brugsvejledningen, som er i pakningen. Alternativt kan du finde den på ""},{""type"":""link"",""url"":""https://www.indlaegssedler.dk/resource/Pdf/Indlaegsseddel/6ee652c8-190e-4bb5-bdaa-628d49680c7c"",""title"":""indlaegssedler.dk"",""target"":""_blank"",""children"":[{""type"":""text"",""value"":""indlaegssedler.dk""}]},{""type"":""text"",""value"":"". Er du i tvivl, kontakt egen læge.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Når du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis. ""}]},{""type"":""text"",""value"":""""}]}]}"
Revadol;Wellvita;Lægemiddel;180;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Revadol er et lægemiddel, der kan lindre smerter og forbedre bevægeligheden ved let til moderat slidgigt. Det aktive stof i Revadol (glucosamin) stammer fra skaldyr. ""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Kliniske studier har antyder, at glucosamin kan reducere smerter efter 4 ugers behandling og forbedre bevægeligheden i de ramte led hos patienter med let til moderat slidgigt.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis.""}]},{""type"":""text"",""value"":""""}]}]}"
ANTI SNORK;Wellvita;Snorkeprodukt;;;;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""ANTI SNORK-masken understøtter underkæben og holder luftvejene åbne. Derved elimineres snorken.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Let til moderat snorken medfører normalt ikke symptomer, men kan være generende for omgivelserne/sovepartneren og dermed være et socialt problem. Svær snorken med pauser i vejrtrækningen kan give dårlig søvnkvalitet med mange opvågninger, som man ikke husker næste morgen. Dette vil i de fleste tilfælde udløse træthed om dagen.\n\nFå en bedre søvn uden snorken med ANTI SNORK.""}]},{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Afhjælper snorken""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Behagelig at have på""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nem at bruge""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Let at tage af og på""}]}]}]}"
